drug,feature,stability,mean_chi2_when_selected,category,evidence,mechanism,source
AMP,group_8997,1.0,248.75622310747747,unknown_roary_group,unknown,Roary pangenome group không tên — cần sequence,accessory_stability
AMP,C2J16_23265,1.0,248.75622310747747,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,C3Z97_24385,1.0,252.71289939275798,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,GPA53_004685,1.0,252.71289939275798,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,C3004_19165,1.0,231.50040900243116,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,C3009_23215,1.0,248.75622310747747,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,CKP58_25195,1.0,248.75622310747747,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,K3989_004263,1.0,248.75622310747747,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,DKF47_19030,1.0,248.75622310747747,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,FRK71_15380,1.0,248.75622310747747,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,C0N02_22135,1.0,252.71289939275798,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,IYQ21_004605,1.0,248.75622310747747,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,EGD39_22225,1.0,252.71289939275798,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,C3004_18245,1.0,248.75622310747747,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,DWF11_19130,1.0,248.75622310747747,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,C2O75_18625,1.0,231.0175587279561,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,IYQ21_004617,1.0,252.71289939275798,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,I3040_004962,1.0,231.0175587279561,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,CBU12_02120,1.0,225.13754308175376,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,GOO02_004997,1.0,252.71289939275798,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,C3001_18290,1.0,252.71289939275798,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,K5U21_004471,1.0,244.76592876878303,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
AMP,HF382_002470,1.0,264.09922725592077,unknown_locus_tag,unknown,locus tag đặc trưng chủng — cần sequence để chú giải,accessory_stability
